"","x"
"1",1709990906.65087
"2",1710166115.35502
"3",1710516532.76332
"4",1711042158.87576
"5",1711742993.69235
"6",1712619037.21309
"7",1713670289.43798
"8",1714896750.36702
"9",1716298420.0002
"10",1717875298.33754
"11",1719627385.37902
"12",1721554681.12465
"13",1723657185.57443
"14",1725123255.78056
"15",1725952891.74304
"16",1726146093.46188
"17",1725702860.93708
"18",1724623194.16862
"19",1722907093.15652
"20",1720554557.90078
"21",1717565588.40139
"22",1713940184.65835
"23",1709678346.67167
"24",1704780074.44134
"25",1699245367.96737
"26",1695034462.74586
"27",1692147358.77682
"28",1690584056.06025
"29",1690344554.59615
"30",1691428854.38452
"31",1693836955.42535
"32",1697568857.71865
"33",1702624561.26442
"34",1709004066.06266
"35",1716707372.11336
"36",1725734479.41653
"37",1736085387.97218
"38",1744700151.85594
"39",1751578771.06783
"40",1756721245.60785
"41",1760127575.476
"42",1761797760.67227
"43",1761731801.19666
"44",1759929697.04918
"45",1756391448.22983
"46",1751117054.7386
"47",1744106516.5755
"48",1735359833.74052
"49",1724877006.23367
"50",1713147490.14166
"51",1700171285.46448
"52",1685948392.20214
"53",1670478810.35463
"54",1653762539.92196
"55",1635799580.90413
"56",1616589933.30113
"57",1596133597.11296
"58",1574430572.33964
"59",1551480858.98115
"60",1527284457.03749
"61",1501841366.50867
"62",1478650709.19256
"63",1457712485.08916
"64",1439026694.19846
"65",1422593336.52047
"66",1408412412.0552
"67",1396483920.80263
"68",1386807862.76276
"69",1379384237.93561
"70",1374213046.32116
"71",1371294287.91943
"72",1370627962.7304
"73",1372214070.75407
"74",1376461365.77835
"75",1383369847.80322
"76",1392939516.82869
"77",1405170372.85476
"78",1420062415.88142
"79",1437615645.90868
"80",1457830062.93653
"81",1480705666.96499
"82",1506242457.99403
"83",1534440436.02368
"84",1565299601.05392
"85",1598819953.08476
"86",1628600419.57025
"87",1654641000.51038
"88",1676941695.90515
"89",1695502505.75457
"90",1710323430.05863
"91",1721404468.81733
"92",1728745622.03068
"93",1732346889.69867
"94",1732208271.82131
"95",1728329768.39859
"96",1720711379.43052
"97",1709353104.91709
"98",1700177652.02821
"99",1693185020.76387
"100",1688375211.12408
"101",1685748223.10884
"102",1685304056.71814
"103",1687042711.95199
"104",1690964188.81039
"105",1697068487.29333
"106",1705355607.40082
"107",1715825549.13286
"108",1728478312.48944
"109",1743313897.47057
"110",1756883411.60966
"111",1769186854.90671
"112",1780224227.36172
"113",1789995528.97469
"114",1798500759.74561
"115",1805739919.6745
"116",1811713008.76135
"117",1816420027.00616
"118",1819860974.40892
"119",1822035850.96965
"120",1822944656.68834
"121",1822587391.56498
"122",1822382627.80221
"123",1822330365.40004
"124",1822430604.35845
"125",1822683344.67745
"126",1823088586.35704
"127",1823646329.39721
"128",1824356573.79798
"129",1825219319.55933
"130",1826234566.68128
"131",1827402315.16381
"132",1828722565.00693
"133",1830195316.21063
"134",1831494025.12627
"135",1832618691.75384
"136",1833569316.09334
"137",1834345898.14476
"138",1834948437.90812
"139",1835376935.3834
"140",1835631390.57062
"141",1835711803.46976
"142",1835618174.08084
"143",1835350502.40384
"144",1834908788.43877
"145",1834293032.18563
"146",1833666199.04772
"147",1833028289.02503
"148",1832379302.11756
"149",1831719238.32533
"150",1831048097.64831
"151",1830365880.08652
"152",1829672585.63995
"153",1828968214.30861
"154",1828252766.0925
"155",1827526240.9916
"156",1826788639.00594
"157",1826039960.13549
"158",1825928843.82921
"159",1826455290.0871
"160",1827619298.90915
"161",1829420870.29536
"162",1831860004.24573
"163",1834936700.76027
"164",1838650959.83898
"165",1843002781.48184
"166",1847992165.68887
"167",1853619112.46007
"168",1859883621.79542
"169",1866785693.69494
"170",1873624496.65923
"171",1880400030.68828
"172",1887112295.7821
"173",1893761291.94069
"174",1900347019.16404
"175",1906869477.45216
"176",1913328666.80505
"177",1919724587.2227
"178",1926057238.70512
"179",1932326621.2523
"180",1938532734.86425
"181",1944675579.54097
"182",1949267260.6721
"183",1952307778.25764
"184",1953797132.2976
"185",1953735322.79197
"186",1952122349.74075
"187",1948958213.14394
"188",1944242913.00155
"189",1937976449.31357
"190",1930158822.08001
"191",1920790031.30085
"192",1909870076.97611
"193",1897398959.10579
"194",1886437276.73117
"195",1876985029.85228
"196",1869042218.46909
"197",1862608842.58163
"198",1857684902.18988
"199",1854270397.29384
"200",1852365327.89352
"201",1851969693.98891
"202",1853083495.58002
"203",1855706732.66684
"204",1859839405.24938
"205",1865481513.32763
"206",1870420136.36161
"207",1874655274.3513
"208",1878186927.29672
"209",1881015095.19786
"210",1883139778.05473
"211",1884560975.86731
"212",1885278688.63562
"213",1885292916.35965
"214",1884603659.0394
"215",1883210916.67488
"216",1881114689.26608
"217",1878314976.81299
"218",1875928295.49019
"219",1873954645.29767
"220",1872394026.23544
"221",1871246438.30348
"222",1870511881.5018
"223",1870190355.8304
"224",1870281861.28928
"225",1870786397.87845
"226",1871703965.59789
"227",1873034564.44762
"228",1874778194.42762
"229",1876934855.53791
"230",1878911794.889
"231",1880709012.48091
"232",1882326508.31362
"233",1883764282.38715
"234",1885022334.70148
"235",1886100665.25663
"236",1886999274.05258
"237",1887718161.08934
"238",1888257326.36691
"239",1888616769.88529
"240",1888796491.64448
