,x
1,471176595.6
2,471323076.5
3,471616038.2
4,472055480.7
5,472641404.1
6,473373808.3
7,474252693.3
8,475278059.2
9,476449906
10,477768233.5
11,479233042
12,480844331.2
13,482602101.4
14,485341201.4
15,489061631.3
16,493763391.2
17,499446481
18,506110900.7
19,513756650.3
20,522383729.8
21,531992139.3
22,542581878.6
23,554152947.9
24,566705347.1
25,580239076.3
26,591100836.2
27,599290626.9
28,604808448.3
29,607654300.6
30,607828183.6
31,605330097.5
32,600160042.1
33,592318017.5
34,581804023.7
35,568618060.6
36,552760128.4
37,534230226.9
38,518772276.3
39,506386276.6
40,497072227.8
41,490830129.8
42,487659982.8
43,487561786.5
44,490535541.2
45,496581246.7
46,505698903.2
47,517888510.4
48,533150068.6
49,551483577.7
50,566218911.8
51,577356071
52,584895055.4
53,588835864.8
54,589178499.3
55,585922958.9
56,579069243.7
57,568617353.5
58,554567288.4
59,536919048.4
60,515672633.6
61,490828043.8
62,470855693.6
63,455755583
64,445527711.9
65,440172080.5
66,439688688.6
67,444077536.3
68,453338623.6
69,467471950.5
70,486477517
71,510355323.1
72,539105368.7
73,572727654
74,602651792.5
75,628877784.4
76,651405629.6
77,670235328.1
78,685366879.9
79,696800285.1
80,704535543.6
81,708572655.4
82,708911620.5
83,705552438.9
84,698495110.7
85,687739635.8
86,677026429.3
87,666355491.2
88,655726821.5
89,645140420.3
90,634596287.5
91,624094423.1
92,613634827.1
93,603217499.5
94,592842440.4
95,582509649.6
96,572219127.3
97,561970873.4
98,555930054.2
99,554096669.8
100,556470720
101,563052204.9
102,573841124.5
103,588837478.8
104,608041267.8
105,631452491.5
106,659071150
107,690897243.1
108,726930770.9
109,767171733.4
110,803171941.2
111,834931394.2
112,862450092.5
113,885728036
114,904765224.8
115,919561658.9
116,930117338.2
117,936432262.8
118,938506432.6
119,936339847.7
120,929932508.1
121,919284413.7
122,911017052.4
123,905130424.2
124,901624529.2
125,900499367.2
126,901754938.4
127,905391242.7
128,911408280.1
129,919806050.7
130,930584554.3
131,943743791.1
132,959283761
133,977204463.9
134,995044547.2
135,1012804011
136,1030482855
137,1048081079
138,1065598683
139,1083035668
140,1100392033
141,1117667778
142,1134862904
143,1151977410
144,1169011296
145,1185964562
146,1202017997
147,1217171599
148,1231425370
149,1244779308
150,1257233415
151,1268787689
152,1279442132
153,1289196742
154,1298051521
155,1306006467
156,1313061582
157,1319216864
158,1324109647
159,1327739930
160,1330107714
161,1331212999
162,1331055784
163,1329636069
164,1326953855
165,1323009142
166,1317801929
167,1311332217
168,1303600005
169,1294605294
170,1287519791
171,1282343497
172,1279076412
173,1277718536
174,1278269869
175,1280730410
176,1285100161
177,1291379120
178,1299567288
179,1309664665
180,1321671250
181,1335587045
182,1345993648
183,1352891061
184,1356279282
185,1356158313
186,1352528153
187,1345388801
188,1334740259
189,1320582526
190,1302915602
191,1281739487
192,1257054181
193,1228859684
194,1201509192
195,1175002706
196,1149340226
197,1124521751
198,1100547281
199,1077416818
200,1055130359
201,1033687906
202,1013089459
203,993335017.3
204,974424581
205,956358150.2
206,941828205.1
207,930834745.7
208,923377771.9
209,919457283.8
210,919073281.4
211,922225764.6
212,928914733.4
213,939140188
214,952902128.2
215,970200554
216,991035465.5
217,1015406863
218,1037598797
219,1057611269
220,1075444279
221,1091097826
222,1104571911
223,1115866533
224,1124981692
225,1131917389
226,1136673623
227,1139250395
228,1139647705
229,1137865551
230,1136231911
231,1134746783
232,1133410168
233,1132222066
234,1131182477
235,1130291400
236,1129548836
237,1128954785
238,1128509247
239,1128212222
240,1128063709
